20.00,62.90,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,62.90,19.70
20.00,62.90,19.70
20.00,62.90,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,63.00,19.70
20.00,63.00,19.70
19.90,62.90,19.59
20.00,62.90,19.70
20.00,62.90,19.70
19.90,62.80,19.59
19.90,62.70,19.58
19.90,62.70,19.58
19.90,62.70,19.58
19.90,62.70,19.58
19.90,62.60,19.58
19.90,62.60,19.58
19.90,62.60,19.58
19.90,62.60,19.58
19.90,62.60,19.58
19.90,62.50,19.58
19.90,62.50,19.58
19.90,62.50,19.58
19.90,62.50,19.58
19.90,62.40,19.57
19.90,62.30,19.57
19.90,62.40,19.57
19.90,62.40,19.57
19.90,62.30,19.57
19.90,62.30,19.57
19.90,62.30,19.57
19.90,62.20,19.57
19.90,62.30,19.57
19.90,62.30,19.57
19.90,62.20,19.57
19.90,62.20,19.57
19.90,62.10,19.57
19.90,62.10,19.57
19.80,62.00,19.45
19.90,62.20,19.57
19.90,62.20,19.57
19.90,62.20,19.57
19.80,62.10,19.46
19.90,62.00,19.56
19.80,62.00,19.45
19.80,62.00,19.45
19.80,62.20,19.46
19.80,62.20,19.46
19.80,62.20,19.46
19.80,62.20,19.46
19.80,62.10,19.46
19.80,62.00,19.45
19.80,62.00,19.45
19.80,61.90,19.45
19.80,61.90,19.45
19.80,62.00,19.45
19.80,62.00,19.45
19.80,61.80,19.45
19.80,61.80,19.45
19.80,61.90,19.45
19.80,61.90,19.45
19.80,61.90,19.45
19.70,61.90,19.34
19.80,61.90,19.45
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,62.00,19.34
19.70,62.00,19.34
19.70,61.90,19.34
19.70,61.80,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.90,19.34
19.70,61.80,19.34
19.70,61.80,19.34
19.70,61.80,19.34
19.70,61.80,19.34
19.70,61.80,19.34
19.70,61.80,19.34
19.70,61.80,19.34
19.70,61.70,19.34
19.70,61.60,19.33
